time(s),preprocessor,alamAPI_API,alamAPI_DB
653,0.01,0.17,0.21
654,0.01,0.17,0.23
655,0.01,0.16,0.18
656,0.01,0.14,0.17
657,0.01,0.2,0.51
658,0.01,0.13,0.17
659,0.01,0.16,0.23
660,0.01,0.17,0.24
661,0.01,0.15,0.19
662,0.01,0.23,0.55
663,0.01,0.14,0.21
664,0.01,0.17,0.22
665,0.01,0.17,0.24
666,0.01,0.18,0.22
667,0.01,0.22,0.5
668,0.01,0.16,0.22
669,0.01,0.2,0.24
670,0.01,0.2,0.22
671,0.01,0.15,0.19
672,0.01,0.23,0.56
673,0.01,0.16,0.21
674,0.01,0.17,0.23
675,0.01,0.17,0.19
676,0.01,0.16,0.19
677,0.01,0.17,0.54
678,0.01,0.16,0.22
679,0.01,0.16,0.25
680,0.01,0.16,0.22
681,0.0,0.18,0.19
682,0.0,0.16,0.53
683,0.01,0.15,0.23
684,0.01,0.12,0.16
685,0.01,0.14,0.16
686,0.01,0.12,0.17
687,0.01,0.13,0.36
688,0.01,0.13,0.17
689,0.01,0.12,0.16
690,0.01,0.15,0.21
691,0.01,0.17,0.23
692,0.01,0.17,0.22
693,0.01,0.14,0.2
694,0.01,0.17,0.22
695,0.01,0.14,0.19
696,0.01,0.17,0.22
697,0.01,0.17,0.22
698,0.01,0.17,0.19
699,0.01,0.16,0.23
700,0.01,0.15,0.21
701,0.01,0.17,0.23
702,0.01,0.18,0.22
703,0.01,0.16,0.18
704,0.01,0.15,0.24
705,0.01,0.15,0.2
706,0.01,0.16,0.22
707,0.01,0.17,0.22
708,0.01,0.16,0.18
709,0.01,0.18,0.22
710,0.01,0.15,0.22
711,0.01,0.17,0.22
712,0.01,0.18,0.22
713,0.01,0.17,0.18
714,0.01,0.15,0.22
715,0.01,0.17,0.18
716,0.01,0.17,0.22
717,0.01,0.15,0.22
718,0.01,0.17,0.17
719,0.01,0.18,0.23
720,0.01,0.15,0.22
721,0.01,0.21,0.24
722,0.01,0.14,0.21
723,0.01,0.16,0.19
724,0.01,0.17,0.19
725,0.0,0.15,0.23
726,0.01,0.21,0.32
727,0.01,0.17,0.39
728,0.01,0.16,0.24
729,0.01,0.16,0.23
730,0.01,0.14,0.23
731,0.01,0.23,1.05
732,0.01,0.14,0.22
733,0.01,0.16,0.21
734,0.01,0.2,0.25
735,0.01,0.16,0.18
736,0.01,0.21,0.43
737,0.01,0.16,0.21
738,0.01,0.2,0.23
739,0.01,0.16,0.23
740,0.0,0.16,0.19
741,0.01,0.22,0.62
742,0.01,0.15,0.22
743,0.01,0.17,0.24
744,0.01,0.16,0.22
745,0.01,0.16,0.17
746,0.01,0.22,0.66
747,0.01,0.15,0.23
748,0.01,0.17,0.27
749,0.01,0.16,0.22
750,0.01,0.15,0.25
751,0.01,0.2,0.49
752,0.01,0.17,0.24
753,0.01,0.17,0.23
754,0.01,0.15,0.24
755,0.01,0.16,0.18
756,0.01,0.16,0.62
757,0.01,0.18,0.21
758,0.01,0.17,0.25
759,0.01,0.16,0.21
760,0.01,0.17,0.24
761,0.01,0.17,0.42
762,0.01,0.16,0.21
763,0.01,0.18,0.22
764,0.01,0.15,0.32
765,0.01,0.17,0.24
766,0.01,0.16,0.22
767,0.01,0.15,0.19
768,0.01,0.16,0.21
769,0.01,0.15,0.22
770,0.01,0.17,0.23
771,0.01,0.16,0.22
772,0.0,0.14,0.2
773,0.01,0.17,0.21
774,0.01,0.14,0.21
775,0.01,0.18,0.23
776,0.01,0.16,0.24
777,0.01,0.16,0.24
778,0.01,0.17,0.23
779,0.01,0.15,0.18
780,0.01,0.19,0.23
781,0.01,0.16,0.22
782,0.01,0.16,0.22
783,0.01,0.16,0.22
784,0.01,0.18,0.21
785,0.01,0.16,0.64
786,0.01,0.16,0.21
787,0.01,0.15,0.17
788,0.01,0.17,0.23
789,0.01,0.15,0.22
790,0.01,0.18,0.22
791,0.01,0.15,0.24
792,0.01,0.16,0.21
793,0.01,0.16,0.22
794,0.01,0.16,0.22
795,0.01,0.24,0.26
796,0.01,0.15,0.22
797,0.01,0.17,0.18
798,0.01,0.15,0.18
799,0.01,0.17,0.25
800,0.01,0.24,0.22
801,0.01,0.15,0.25
802,0.01,0.15,0.33
803,0.01,0.16,0.24
804,0.01,0.16,0.17
805,0.01,0.26,0.54
806,0.01,0.15,0.22
807,0.01,0.17,0.23
808,0.01,0.16,0.22
809,0.01,0.14,0.18
810,0.01,0.24,0.54
811,0.01,0.16,0.25
812,0.01,0.16,0.25
813,0.01,0.17,0.22
814,0.01,0.15,0.17
815,0.01,0.23,0.66
816,0.01,0.15,0.19
817,0.01,0.16,0.24
818,0.01,0.17,0.19
819,0.01,0.16,0.18
820,0.01,0.25,0.55
821,0.01,0.15,0.22
822,0.01,0.19,0.23
823,0.01,0.16,0.23
824,0.01,0.17,0.18
825,0.01,0.2,0.57
826,0.01,0.17,0.21
827,0.01,0.16,0.23
828,0.01,0.15,0.19
829,0.01,0.15,0.23
830,0.01,0.25,0.56
831,0.01,0.16,0.24
832,0.01,0.15,0.22
833,0.01,0.15,0.22
834,0.01,0.15,0.2
835,0.01,0.17,0.48
836,0.01,0.15,0.21
837,0.01,0.2,0.22
838,0.01,0.16,0.19
839,0.01,0.17,0.17
840,0.01,0.17,0.46
841,0.0,0.19,0.17
842,0.0,0.13,0.15
843,0.01,0.14,0.16
844,0.01,0.15,0.21
845,0.01,0.16,0.22
846,0.01,0.19,0.17
847,0.01,0.16,0.23
848,0.01,0.17,0.23
849,0.01,0.16,0.18
850,0.01,0.18,0.22
851,0.01,0.17,0.17
852,0.01,0.17,0.19
853,0.01,0.15,0.2
854,0.01,0.18,0.32
855,0.01,0.16,0.27
856,0.01,0.15,0.17
857,0.01,0.16,0.23
858,0.01,0.15,0.22
859,0.01,0.17,0.23
860,0.01,0.16,0.19
861,0.01,0.16,0.17
862,0.01,0.16,0.23
863,0.01,0.16,0.22
864,0.01,0.16,0.23
865,0.01,0.17,0.22
866,0.01,0.16,0.18
867,0.01,0.17,0.22
868,0.01,0.16,0.22
869,0.01,0.17,0.22
870,0.01,0.16,0.22
871,0.01,0.18,0.16
872,0.01,0.16,0.23
873,0.01,0.18,0.22
874,0.01,0.23,0.35
875,0.01,0.16,0.23
876,0.01,0.15,0.24
877,0.01,0.18,0.24
878,0.01,0.16,0.17
879,0.01,0.23,0.61
880,0.01,0.15,0.22
881,0.01,0.16,0.22
882,0.01,0.16,0.24
883,0.01,0.16,0.23
884,0.01,0.23,0.63
885,0.01,0.15,0.23
886,0.01,0.16,0.23
887,0.01,0.17,0.22
888,0.01,0.17,0.18
889,0.01,0.21,0.62
890,0.01,0.16,0.19
891,0.01,0.16,0.23
892,0.01,0.17,0.23
893,0.01,0.15,0.17
894,0.01,0.23,0.48
895,0.01,0.15,0.22
896,0.01,0.18,0.23
897,0.01,0.16,0.26
898,0.01,0.17,0.24
899,0.01,0.2,0.62
900,0.01,0.16,0.23
901,0.01,0.15,0.23
902,0.01,0.15,0.22
903,0.01,0.15,0.2
904,0.0,0.21,0.66
905,0.01,0.17,0.22
906,0.01,0.16,0.23
907,0.01,0.14,0.21
908,0.01,0.17,0.23
909,0.01,0.25,0.65
910,0.01,0.16,0.22
911,0.01,0.16,0.23
912,0.01,0.15,0.21
913,0.0,0.17,0.17
914,0.01,0.15,0.8
915,0.01,0.15,0.17
916,0.01,0.17,0.24
917,0.01,0.15,0.21
918,0.01,0.18,0.23
919,0.01,0.18,0.22
920,0.01,0.16,0.21
921,0.01,0.17,0.22
922,0.01,0.16,0.21
923,0.01,0.19,0.23
924,0.01,0.18,0.22
925,0.01,0.18,0.19
926,0.01,0.16,0.22
927,0.01,0.16,0.21
928,0.01,0.16,0.22
929,0.01,0.19,0.22
930,0.01,0.14,0.2
931,0.01,0.17,0.18
932,0.01,0.15,0.17
933,0.01,0.17,0.64
934,0.01,0.16,0.22
935,0.01,0.15,0.18
936,0.01,0.16,0.23
937,0.01,0.16,0.21
938,0.0,0.16,0.18
939,0.01,0.17,0.22
940,0.01,0.16,0.21
941,0.01,0.16,0.22
942,0.01,0.17,0.22
943,0.01,0.16,0.18
944,0.01,0.18,0.19
945,0.01,0.16,0.19
946,0.01,0.18,0.21
947,0.01,0.16,0.24
948,0.01,0.17,0.24
949,0.01,0.17,0.22
950,0.01,0.16,0.17
951,0.01,0.16,0.23
952,0.01,0.16,0.22
953,0.01,0.22,0.53
954,0.01,0.15,0.24
955,0.0,0.17,0.18
956,0.01,0.18,0.23
957,0.0,0.15,0.17
958,0.01,0.23,0.54
959,0.01,0.16,0.22
960,0.01,0.16,0.22
961,0.01,0.17,0.26
962,0.01,0.15,0.17
963,0.01,0.25,0.63
964,0.01,0.15,0.22
965,0.01,0.18,0.24
966,0.01,0.15,0.21
967,0.01,0.15,0.18
968,0.01,0.22,0.54
969,0.01,0.14,0.17
970,0.01,0.15,0.15
971,0.01,0.12,0.15
972,0.01,0.12,0.18
973,0.01,0.18,0.39
974,0.01,0.15,0.25
975,0.01,0.19,0.23
976,0.01,0.15,0.17
977,0.0,0.16,0.18
978,0.01,0.23,0.57
979,0.01,0.17,0.24
980,0.01,0.17,0.23
981,0.01,0.17,0.24
982,0.01,0.16,0.17
983,0.01,0.24,0.59
984,0.01,0.16,0.25
985,0.01,0.17,0.24
986,0.0,0.17,0.21
987,0.02,0.18,0.17
988,0.01,0.18,0.36
989,0.0,0.13,0.17
990,0.01,0.15,0.2
991,0.01,0.19,0.35
992,0.01,0.16,0.24
993,0.01,0.17,0.26
