time(s),preprocessor,alamAPI_API,alamAPI_DB
339,0.03,0.25,0.5
340,0.18,0.3,0.47
341,0.04,0.23,0.28
342,0.03,0.19,0.26
343,0.11,0.21,0.34
344,0.08,0.32,0.25
345,0.03,0.24,0.31
346,0.06,0.24,0.45
347,0.05,0.22,0.34
348,0.18,0.23,0.26
349,0.05,0.19,0.24
350,0.05,0.17,0.31
351,0.1,0.21,0.28
352,0.04,0.28,0.43
353,0.06,0.33,0.24
354,0.05,0.26,0.53
355,0.03,0.19,0.28
356,0.03,0.2,0.27
357,0.04,0.21,0.27
358,0.05,0.23,0.24
359,0.03,0.21,0.41
360,0.04,0.25,0.2
361,0.04,0.33,0.37
362,0.05,0.24,0.21
363,0.02,0.14,0.43
364,0.12,0.25,0.49
365,0.04,0.31,0.48
366,0.02,0.15,0.55
367,0.03,0.19,0.5
368,0.04,0.33,0.38
369,0.04,0.23,0.31
370,0.05,0.22,0.25
371,0.03,0.16,0.48
372,0.23,0.32,0.48
373,0.02,0.28,0.21
374,0.05,0.24,0.42
375,0.05,0.27,0.26
376,0.03,0.19,0.36
377,0.06,0.35,1.73
378,0.04,0.17,0.45
379,0.04,0.2,0.19
380,0.04,0.27,0.34
381,0.07,0.27,0.26
382,0.03,0.18,0.72
383,0.12,0.26,0.51
384,0.04,0.19,0.24
385,0.03,0.27,1.8
386,0.03,0.22,0.59
387,0.04,0.28,0.32
388,0.03,0.25,0.31
389,0.03,0.18,0.47
390,0.03,0.26,0.5
391,0.04,0.18,0.29
392,0.05,0.29,0.26
393,0.03,0.14,0.21
394,0.06,0.14,0.22
395,0.03,0.23,0.25
396,0.03,0.18,0.26
397,0.02,0.19,0.34
398,0.02,0.14,1.17
399,0.12,0.18,0.23
400,0.03,0.24,0.27
401,0.03,0.13,0.39
402,0.03,0.21,0.27
403,0.03,0.13,0.24
404,0.03,0.22,0.17
405,0.02,0.14,0.18
406,0.03,0.17,0.18
407,0.03,0.16,0.25
408,0.02,0.17,0.21
409,0.05,0.23,0.19
410,0.12,0.25,0.25
411,0.05,0.23,0.35
412,0.03,0.17,0.59
413,0.04,0.19,0.55
414,0.04,0.2,0.24
415,0.03,0.33,0.51
416,0.04,0.16,0.26
417,0.03,0.14,0.19
418,0.14,0.2,0.46
419,0.03,0.18,0.24
420,0.03,0.15,0.37
421,0.03,0.19,0.22
422,0.04,0.23,0.22
423,0.04,0.17,0.33
424,0.03,0.14,0.19
425,0.04,0.14,0.33
426,0.15,0.25,0.23
427,0.03,0.14,0.2
428,0.04,0.17,0.3
429,0.03,0.15,0.24
430,0.03,0.18,0.32
431,0.03,0.18,0.79
432,0.03,0.21,0.45
433,0.05,0.22,0.45
434,0.05,0.32,0.51
435,0.04,0.22,0.22
436,0.03,0.17,0.21
437,0.1,0.22,0.31
438,0.04,0.26,0.23
439,0.03,0.19,1.22
440,0.03,0.22,0.39
441,0.03,0.2,0.43
442,0.03,0.34,0.49
443,0.03,0.27,0.22
444,0.03,0.19,0.35
445,0.03,0.18,0.24
446,0.03,0.16,0.21
447,0.02,0.15,0.78
448,0.06,0.18,0.27
449,0.04,0.17,0.23
450,0.04,0.21,0.38
451,0.03,0.23,0.42
452,0.05,0.24,0.21
453,0.03,0.21,0.33
454,0.02,0.21,0.25
455,0.07,0.18,0.36
456,0.16,0.2,0.27
457,0.03,0.18,0.25
458,0.03,0.23,0.91
459,0.04,0.24,0.39
460,0.03,0.21,0.31
461,0.05,0.34,0.39
462,0.04,0.27,0.3
463,0.04,0.2,0.26
464,0.08,0.29,0.45
465,0.05,0.29,0.21
466,0.04,0.29,0.37
467,0.03,0.23,0.23
468,0.03,0.23,0.46
469,0.04,0.39,0.84
470,0.05,0.24,0.27
471,0.03,0.22,0.23
472,0.04,0.27,0.46
473,0.04,0.23,0.2
474,0.05,0.31,0.21
475,0.03,0.18,0.46
476,0.05,0.23,0.32
477,0.04,0.26,1.71
478,0.03,0.23,0.44
479,0.04,0.25,0.42
480,0.05,0.3,0.35
481,0.04,0.26,0.35
482,0.03,0.21,0.28
483,0.09,0.29,0.28
484,0.05,0.33,0.31
485,0.04,0.21,0.29
486,0.07,0.18,0.29
487,0.04,0.2,0.29
488,0.04,0.32,0.53
489,0.04,0.19,0.25
490,0.02,0.17,0.46
491,0.1,0.26,0.36
492,0.04,0.28,0.45
493,0.03,0.22,0.24
494,0.11,0.25,0.56
495,0.04,0.23,0.63
496,0.04,0.2,0.51
497,0.03,0.21,0.45
498,0.03,0.28,0.29
499,0.09,0.29,0.3
500,0.05,0.25,0.45
501,0.04,0.16,1.26
502,0.05,0.23,0.39
503,0.06,0.27,0.46
504,0.04,0.32,0.27
505,0.05,0.3,0.26
506,0.04,0.26,0.58
507,0.19,0.3,0.29
508,0.05,0.21,0.45
509,0.03,0.18,0.68
510,0.03,0.3,0.18
511,0.03,0.17,0.26
512,0.03,0.22,0.51
513,0.03,0.23,0.46
514,0.03,0.21,0.39
515,0.04,0.2,0.27
516,0.05,0.28,0.46
517,0.04,0.2,1.41
518,0.03,0.21,0.36
519,0.05,0.25,0.49
520,0.04,0.29,0.26
521,0.03,0.16,0.29
522,0.03,0.21,0.29
523,0.04,0.22,0.29
524,0.03,0.31,0.35
525,0.04,0.24,0.25
526,0.03,0.16,0.33
527,0.05,0.3,0.49
528,0.05,0.36,1.56
529,0.05,0.3,0.61
530,0.05,0.23,0.4
531,0.05,0.27,0.47
532,0.05,0.27,0.3
533,0.05,0.23,0.19
534,0.03,0.19,0.58
535,0.08,0.28,0.47
536,0.04,0.37,0.47
537,0.03,0.21,0.23
538,0.04,0.22,0.2
539,0.03,0.15,0.23
540,0.05,0.26,0.24
541,0.03,0.22,0.24
542,0.07,0.21,0.24
543,0.05,0.21,0.41
544,0.05,0.19,0.78
545,0.04,0.21,0.47
546,0.04,0.22,0.35
547,0.05,0.24,0.24
548,0.03,0.16,0.33
549,0.03,0.2,0.43
550,0.15,0.26,0.48
551,0.04,0.25,0.23
552,0.03,0.19,0.75
553,0.1,0.18,0.3
554,0.04,0.22,0.42
555,0.05,0.3,0.49
556,0.03,0.16,0.19
557,0.05,0.15,0.26
558,0.04,0.24,0.5
559,0.03,0.25,0.23
560,0.03,0.2,0.74
561,0.1,0.2,0.27
562,0.03,0.2,0.32
563,0.04,0.26,0.24
564,0.04,0.23,0.28
565,0.03,0.25,0.41
566,0.13,0.22,0.27
567,0.06,0.21,0.21
568,0.03,0.25,0.5
569,0.03,0.18,0.26
570,0.04,0.31,0.38
571,0.05,0.36,0.28
572,0.03,0.22,0.17
573,0.03,0.19,0.41
574,0.04,0.25,0.36
575,0.05,0.18,0.29
576,0.04,0.25,0.42
577,0.03,0.22,0.69
578,0.03,0.21,0.33
579,0.03,0.28,1.09
580,0.05,0.33,0.2
581,0.03,0.23,0.56
582,0.06,0.23,0.29
583,0.03,0.28,0.38
584,0.04,0.31,1.37
585,0.07,0.22,0.25
586,0.05,0.25,0.25
587,0.05,0.29,1.35
588,0.04,0.25,0.54
589,0.03,0.23,0.24
590,0.07,0.37,0.28
591,0.05,0.18,0.33
592,0.02,0.16,0.31
593,0.11,0.18,0.32
594,0.05,0.24,0.26
595,0.04,0.25,0.21
596,0.03,0.16,0.37
597,0.03,0.25,0.31
598,0.05,0.18,0.38
599,0.03,0.2,0.28
600,0.04,0.19,0.28
601,0.13,0.22,0.49
602,0.03,0.29,0.44
603,0.03,0.16,1.36
604,0.03,0.18,0.31
605,0.03,0.22,0.47
606,0.04,0.33,0.29
607,0.04,0.23,0.44
608,0.03,0.15,0.21
609,0.2,0.28,0.43
610,0.03,0.26,0.19
611,0.03,0.17,0.55
612,0.03,0.19,0.29
613,0.03,0.15,0.22
614,0.04,0.22,0.17
615,0.03,0.14,0.22
616,0.04,0.25,0.49
617,0.04,0.26,0.53
618,0.05,0.24,0.23
619,0.05,0.19,1.53
620,0.13,0.28,0.46
621,0.04,0.16,0.25
622,0.04,0.25,1.44
623,0.04,0.22,0.3
624,0.06,0.21,0.42
625,0.04,0.27,0.27
626,0.02,0.15,0.18
627,0.03,0.22,0.27
628,0.07,0.21,0.54
629,0.04,0.27,0.25
630,0.03,0.18,1.77
631,0.05,0.24,0.28
632,0.02,0.19,0.32
633,0.04,0.39,0.28
634,0.03,0.16,0.23
635,0.02,0.16,0.44
636,0.03,0.25,0.3
637,0.04,0.27,0.3
638,0.02,0.2,1.51
639,0.07,0.17,0.33
640,0.03,0.26,0.36
641,0.02,0.18,0.33
642,0.03,0.18,0.29
643,0.03,0.24,0.25
644,0.04,0.36,0.27
645,0.04,0.29,0.25
646,0.03,0.19,0.99
647,0.09,0.24,0.26
648,0.04,0.26,0.26
649,0.03,0.15,0.24
650,0.03,0.23,0.45
651,0.04,0.27,0.28
652,0.03,0.28,0.32
653,0.03,0.21,0.24
654,0.03,0.17,0.48
655,0.14,0.19,0.32
656,0.05,0.19,0.41
657,0.03,0.17,0.26
658,0.15,0.19,0.32
659,0.04,0.25,0.51
660,0.03,0.3,0.42
661,0.04,0.23,0.19
662,0.04,0.17,0.47
663,0.03,0.28,0.37
664,0.03,0.18,0.25
665,0.04,0.23,0.23
666,0.08,0.16,0.26
667,0.03,0.21,0.42
668,0.03,0.21,0.38
669,0.04,0.22,0.47
670,0.04,0.26,0.48
671,0.06,0.35,0.25
672,0.03,0.22,0.43
673,0.03,0.16,0.23
674,0.15,0.21,0.49
675,0.03,0.21,0.24
676,0.03,0.17,0.63
677,0.03,0.19,0.33
678,0.03,0.24,0.22
679,0.03,0.36,0.5
680,0.04,0.19,0.25
681,0.04,0.2,0.5
682,0.04,0.21,0.33
683,0.03,0.19,0.25
684,0.04,0.21,0.63
685,0.04,0.23,0.27
686,0.04,0.27,0.46
687,0.04,0.22,0.58
688,0.05,0.21,0.22
689,0.03,0.18,0.25
690,0.03,0.18,0.3
691,0.03,0.21,0.25
692,0.04,0.2,0.22
693,0.04,0.23,0.59
694,0.03,0.25,0.25
695,0.02,0.23,0.27
696,0.03,0.16,0.33
697,0.05,0.21,0.5
698,0.03,0.26,0.23
699,0.04,0.22,0.26
700,0.02,0.22,0.23
701,0.11,0.2,0.45
702,0.04,0.22,0.32
703,0.04,0.26,0.58
704,0.16,0.21,0.43
705,0.04,0.24,0.24
706,0.04,0.34,0.26
707,0.04,0.2,0.23
708,0.03,0.17,1.5
709,0.05,0.24,0.38
710,0.03,0.2,0.31
711,0.03,0.16,0.3
712,0.03,0.17,0.49
713,0.03,0.23,0.52
714,0.03,0.27,0.28
715,0.03,0.14,0.24
716,0.03,0.2,0.47
717,0.05,0.26,0.28
718,0.03,0.18,0.4
719,0.03,0.2,0.26
720,0.11,0.24,0.47
721,0.04,0.21,0.42
722,0.04,0.2,0.21
723,0.05,0.25,0.51
724,0.05,0.18,0.24
725,0.06,0.27,0.22
726,0.03,0.17,0.44
727,0.03,0.21,0.29
728,0.1,0.24,0.48
729,0.04,0.16,0.28
730,0.04,0.25,0.5
731,0.05,0.23,0.32
732,0.04,0.24,0.27
733,0.03,0.22,0.51
734,0.03,0.21,0.27
735,0.03,0.22,0.33
736,0.03,0.2,0.5
737,0.04,0.24,0.45
738,0.03,0.23,0.46
739,0.03,0.24,0.5
740,0.03,0.17,0.23
741,0.04,0.29,0.4
742,0.02,0.23,0.19
743,0.04,0.15,0.33
744,0.03,0.31,0.19
745,0.02,0.24,0.33
746,0.03,0.15,1.18
747,0.09,0.21,0.46
748,0.03,0.25,0.28
749,0.03,0.21,0.65
750,0.09,0.24,0.27
751,0.03,0.21,0.43
752,0.03,0.33,0.46
753,0.04,0.21,0.3
754,0.06,0.24,0.2
755,0.03,0.19,0.32
756,0.07,0.26,0.26
757,0.03,0.18,0.83
758,0.04,0.14,0.31
759,0.04,0.21,0.33
760,0.03,0.21,0.37
761,0.04,0.2,0.34
762,0.04,0.19,0.25
763,0.03,0.23,0.5
764,0.06,0.32,0.41
765,0.03,0.18,1.24
766,0.11,0.25,0.23
767,0.03,0.18,0.44
768,0.04,0.18,0.38
769,0.03,0.16,0.23
770,0.06,0.3,0.42
771,0.04,0.21,0.27
772,0.03,0.21,0.29
773,0.04,0.23,1.47
774,0.04,0.24,0.29
775,0.05,0.26,0.42
776,0.03,0.21,0.37
777,0.03,0.15,0.52
778,0.07,0.25,0.27
779,0.05,0.29,0.22
780,0.04,0.19,0.29
781,0.04,0.18,0.35
782,0.1,0.19,0.25
783,0.03,0.19,0.39
784,0.03,0.2,0.7
785,0.18,0.18,0.27
786,0.05,0.21,0.44
787,0.04,0.31,0.38
788,0.03,0.2,0.31
789,0.05,0.21,0.3
790,0.04,0.27,0.47
791,0.04,0.21,0.45
792,0.03,0.21,0.2
793,0.13,0.19,0.33
794,0.04,0.18,0.44
795,0.03,0.18,0.26
796,0.03,0.21,0.25
797,0.04,0.18,0.25
798,0.04,0.29,0.35
799,0.03,0.17,0.26
800,0.03,0.25,0.75
801,0.11,0.17,0.28
802,0.04,0.24,0.31
803,0.03,0.22,0.35
804,0.03,0.18,0.24
805,0.05,0.21,0.34
806,0.04,0.27,0.26
807,0.05,0.21,0.27
808,0.04,0.22,0.43
809,0.04,0.2,0.29
810,0.04,0.25,0.22
811,0.03,0.18,0.51
812,0.14,0.2,0.56
813,0.05,0.22,0.25
814,0.04,0.28,0.29
815,0.06,0.18,0.26
816,0.04,0.2,0.33
817,0.04,0.3,0.28
818,0.04,0.26,0.48
819,0.02,0.15,0.24
820,0.13,0.17,0.45
821,0.04,0.2,0.27
822,0.05,0.32,0.37
823,0.04,0.19,0.24
824,0.03,0.17,0.47
825,0.04,0.37,0.44
826,0.02,0.22,0.22
827,0.03,0.23,1.34
828,0.13,0.2,0.35
829,0.05,0.24,0.26
830,0.03,0.19,0.59
831,0.09,0.17,0.23
832,0.04,0.27,0.28
833,0.06,0.43,0.28
834,0.04,0.27,0.22
835,0.05,0.2,1.55
836,0.05,0.24,0.24
837,0.04,0.27,0.26
838,0.03,0.23,0.63
839,0.03,0.25,0.23
840,0.03,0.3,0.46
841,0.03,0.2,0.22
842,0.03,0.2,0.43
843,0.03,0.16,0.25
844,0.06,0.27,0.31
845,0.04,0.26,0.27
846,0.04,0.24,0.27
847,0.08,0.15,0.28
848,0.03,0.2,0.34
849,0.04,0.2,0.36
850,0.11,0.26,0.35
851,0.04,0.29,0.44
852,0.04,0.38,0.41
853,0.04,0.22,0.21
854,0.05,0.28,0.21
855,0.09,0.22,0.26
856,0.03,0.23,0.33
857,0.03,0.2,1.11
858,0.08,0.27,0.45
859,0.04,0.19,0.53
860,0.04,0.39,0.28
861,0.04,0.24,0.29
862,0.03,0.19,1.62
863,0.03,0.36,0.3
864,0.05,0.22,0.22
865,0.02,0.16,0.82
866,0.03,0.22,0.35
867,0.05,0.24,0.34
868,0.05,0.25,0.52
869,0.03,0.19,0.42
870,0.04,0.17,0.47
871,0.05,0.32,0.29
872,0.04,0.27,0.23
873,0.03,0.18,0.27
874,0.09,0.18,0.28
875,0.04,0.33,0.5
